country,network_type,product_name,data_amount,price,crawled_at
"일본","로밍망","일본 로밍망","완전 무제한12,500원","12,500원","2026-01-25T07:29:30.477Z"
"일본","로밍망","일본 로밍망","매일 500MB 이후 저속 무제한","2,500원","2026-01-25T07:29:30.501Z"
"일본","로밍망","일본 로밍망","매일 1GB 이후 저속 무제한","3,600원","2026-01-25T07:29:30.510Z"
"일본","로밍망","일본 로밍망","매일 2GB 이후 저속 무제한","6,200원","2026-01-25T07:29:30.518Z"
"일본","로밍망","일본 로밍망","매일 3GB 이후 저속 무제한8,400원","8,400원","2026-01-25T07:29:30.528Z"
"일본","로밍망","일본 로밍망","매일 4GB 이후 저속 무제한8,600원","8,600원","2026-01-25T07:29:30.537Z"
"일본","로밍망","일본 로밍망","매일 5GB 이후 저속 무제한8,900원","8,900원","2026-01-25T07:29:30.545Z"
"일본","로컬망","일본 로컬망","완전 무제한21,000원","21,000원","2026-01-25T07:29:39.207Z"
"일본","로컬망","일본 로컬망","매일 500MB 이후 저속 무제한","3,300원","2026-01-25T07:29:39.211Z"
"일본","로컬망","일본 로컬망","매일 1GB 이후 저속 무제한","6,000원","2026-01-25T07:29:39.218Z"
"일본","로컬망","일본 로컬망","매일 2GB 이후 저속 무제한","8,800원","2026-01-25T07:29:39.225Z"
"일본","로컬망","일본 로컬망","매일 3GB 이후 저속 무제한12,000원","12,000원","2026-01-25T07:29:39.231Z"
"일본","로컬망","일본 로컬망","매일 4GB 이후 저속 무제한14,500원","14,500원","2026-01-25T07:29:39.239Z"
"일본","로컬망","일본 로컬망","매일 5GB 이후 저속 무제한15,800원","15,800원","2026-01-25T07:29:39.245Z"
"베트남","로밍망","베트남 로밍망","완전 무제한15,800원","15,800원","2026-01-25T07:29:51.544Z"
"베트남","로밍망","베트남 로밍망","매일 500MB 이후 저속 무제한","4,200원","2026-01-25T07:29:51.552Z"
"베트남","로밍망","베트남 로밍망","매일 1GB 이후 저속 무제한","7,200원","2026-01-25T07:29:51.560Z"
"베트남","로밍망","베트남 로밍망","매일 2GB 이후 저속 무제한","8,100원","2026-01-25T07:29:51.567Z"
"베트남","로밍망","베트남 로밍망","매일 3GB 이후 저속 무제한9,100원","9,100원","2026-01-25T07:29:51.574Z"
"베트남","로밍망","베트남 로밍망","매일 4GB 이후 저속 무제한11,600원","11,600원","2026-01-25T07:29:51.580Z"
"베트남","로밍망","베트남 로밍망","매일 5GB 이후 저속 무제한13,100원","13,100원","2026-01-25T07:29:51.588Z"
"베트남","로컬망","베트남 로컬망","완전 무제한17,000원","17,000원","2026-01-25T07:30:00.200Z"
"베트남","로컬망","베트남 로컬망","매일 500MB 이후 저속 무제한","4,500원","2026-01-25T07:30:00.205Z"
"베트남","로컬망","베트남 로컬망","매일 1GB 이후 저속 무제한","7,600원","2026-01-25T07:30:00.210Z"
"베트남","로컬망","베트남 로컬망","매일 2GB 이후 저속 무제한","8,600원","2026-01-25T07:30:00.217Z"
"베트남","로컬망","베트남 로컬망","매일 3GB 이후 저속 무제한9,600원","9,600원","2026-01-25T07:30:00.223Z"
"필리핀","로밍망","필리핀 로밍망","완전 무제한31,700원","31,700원","2026-01-25T07:30:12.505Z"
"필리핀","로밍망","필리핀 로밍망","매일 500MB 이후 저속 무제한","5,300원","2026-01-25T07:30:12.510Z"
"필리핀","로밍망","필리핀 로밍망","매일 1GB 이후 저속 무제한","7,900원","2026-01-25T07:30:12.516Z"
"필리핀","로밍망","필리핀 로밍망","매일 2GB 이후 저속 무제한","11,700원","2026-01-25T07:30:12.524Z"
"필리핀","로밍망","필리핀 로밍망","매일 3GB 이후 저속 무제한17,100원","17,100원","2026-01-25T07:30:12.531Z"
"필리핀","로밍망","필리핀 로밍망","매일 4GB 이후 저속 무제한24,000원","24,000원","2026-01-25T07:30:12.540Z"
"필리핀","로밍망","필리핀 로밍망","매일 5GB 이후 저속 무제한28,800원","28,800원","2026-01-25T07:30:12.551Z"
"필리핀","로컬망","필리핀 로컬망","매일 1GB 이후 저속 무제한","7,600원","2026-01-25T07:30:21.165Z"
"필리핀","로컬망","필리핀 로컬망","매일 2GB 이후 저속 무제한","11,200원","2026-01-25T07:30:21.170Z"
"필리핀","로컬망","필리핀 로컬망","매일 5GB 이후 저속 무제한27,400원","27,400원","2026-01-25T07:30:21.176Z"
