country,network_type,product_name,data_amount,price,crawled_at
"일본","로밍","일본 로밍","완전무제한","14,500원","2026-01-25T08:19:44.588Z"
"일본","로밍","일본 로밍","일 3GB","9,800원","2026-01-25T08:19:44.597Z"
"일본","로밍","일본 로밍","일 2GB","7,300원","2026-01-25T08:19:44.600Z"
"일본","로밍","일본 로밍","일 1GB","4,200원","2026-01-25T08:19:44.604Z"
"일본","로밍","일본 로밍","일 500MB","2,800원","2026-01-25T08:19:44.612Z"
"베트남","로밍","베트남 로밍","완전무제한","12,300원","2026-01-25T08:19:57.897Z"
"필리핀","로밍","필리핀 로밍","완전무제한","22,900원","2026-01-25T08:20:11.018Z"
"필리핀","로밍","필리핀 로밍","일 3GB","17,200원","2026-01-25T08:20:11.022Z"
"필리핀","로밍","필리핀 로밍","일 2GB","11,600원","2026-01-25T08:20:11.026Z"
"필리핀","로밍","필리핀 로밍","일 1GB","8,800원","2026-01-25T08:20:11.032Z"
"필리핀","로밍","필리핀 로밍","일 500MB","5,600원","2026-01-25T08:20:11.037Z"
